0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Job_Title,Salary_Estimate,Rating,Company_Name,Location,Size,Type_Of_Ownership,Industry,Min_Salary,Max_Salary,Avg_Salary,Job_State,Same_State,Company_Age,Python,Excel,Hadoop,Spark,Aws,Tableau,Big_Data,Seniority,Hq_State
Data Scientist,99-132 ,3.6,Spring Health,"New York, NY",1 to 50 employees,Company - Private,Health Care Services & Hospitals,99,132,115, NY,1,4,1,1,0,0,0,0,0,,NY
Software Engineer - Data Science,99-132 ,4.0,ClearEdge,"Annapolis Junction, MD",51 to 200 employees,Company - Private,Computer Hardware & Software,99,132,115, MD,1,18,1,1,1,1,0,0,1,,MD
Data Analyst/Engineer,99-132 ,3.2,AllianceBernstein,"Nashville, TN",1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,99,132,115, TN,0,53,1,1,0,0,0,0,0,,NY
NGS Scientist,99-132 ,5.0,Arsenal Biosciences,"South San Francisco, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,99,132,115, CA,1,1,0,1,0,0,0,0,0,,CA
Data Engineer,99-132 ,4.8,GetWellNetwork,"Bethesda, MD",201 to 500 employees,Company - Private,Health Care Services & Hospitals,99,132,115, MD,1,20,1,0,0,0,0,0,0,,MD
Data Scientist,99-132 ,4.5,TACG Solutions,"Dayton, OH",51 to 200 employees,Company - Private,Consulting,99,132,115, OH,0,14,1,1,0,0,0,1,0,,OH
Senior Data Engineer,99-132 ,4.7,Scoop,"San Francisco, CA",51 to 200 employees,Company - Private,Internet,99,132,115, CA,1,5,1,0,0,1,0,0,0,senior,CA
Senior Data Scientist,99-132 ,4.5,Novetta,"Herndon, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,99,132,115, VA,0,8,1,1,0,0,1,0,0,senior,VA
Data Engineer,99-132 ,4.2,IZEA,"Winter Park, FL",51 to 200 employees,Company - Public,Advertising & Marketing,99,132,115, FL,1,14,1,1,1,1,1,0,0,,FL
Business Intelligence Analyst,99-132 ,3.4,Montway Inc,"Schaumburg, IL",51 to 200 employees,Company - Private,Shipping,99,132,115, IL,1,14,1,1,0,0,0,1,0,,IL
Sr. ML/Data Scientist - AI/NLP/Chatbot,99-132 ,3.8,Juniper Networks,"Cupertino, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,99,132,115, CA,0,24,1,1,0,1,1,0,0,senior,CA
Data Scientist,90-109 ,4.7,1904labs,"Saint Louis, MO",51 to 200 employees,Company - Private,IT Services,90,109,99, MO,1,4,1,0,0,1,0,0,0,,MO
Data Scientist,90-109 ,3.6,XSELL Technologies,"Chicago, IL",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,90,109,99, IL,1,6,1,0,0,0,0,0,0,,IL
Data Engineer,90-109 ,4.2,IZEA,"Winter Park, FL",51 to 200 employees,Company - Public,Advertising & Marketing,90,109,99, FL,1,14,1,1,1,1,1,0,0,,FL
Sr. ML/Data Scientist - AI/NLP/Chatbot,90-109 ,3.8,Juniper Networks,"Cupertino, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,90,109,99, CA,0,24,1,1,0,1,1,0,0,senior,CA
Data Scientist,90-109 ,5.0,Notion Labs,"San Francisco, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,90,109,99, CA,1,4,0,0,0,0,0,0,0,,CA
Senior Data Engineer,90-109 ,4.9,Lendio,"Lehi, UT",201 to 500 employees,Company - Private,Lending,90,109,99, UT,1,9,1,0,1,1,1,0,1,senior,UT
Data Engineer,90-109 ,4.4,Direct Agents,"Culver City, CA",51 to 200 employees,Company - Private,Advertising & Marketing,90,109,99, CA,0,17,1,1,0,0,0,0,0,,NY
Data Scientist,90-109 ,3.3,NAVEX Global,"Lake Oswego, OR",1001 to 5000 employees,Company - Private,Computer Hardware & Software,90,109,99, OR,1,8,1,0,0,1,0,1,0,,OR
Data Scientist,90-109 ,4.2,Upstart,"San Mateo, CA",201 to 500 employees,Company - Private,Lending,90,109,99, CA,1,8,1,0,0,0,0,0,0,,CA
Data Analyst,90-109 ,4.5,Envision LLC,"San Francisco, CA",201 to 500 employees,Company - Private,Staffing & Outsourcing,90,109,99, CA,0,26,1,0,1,1,0,1,1,,MO
Data Engineer,90-109 ,4.8,AppLovin,"Palo Alto, CA",201 to 500 employees,Company - Private,Video Games,90,109,99, CA,1,8,0,1,1,1,0,0,1,,CA
Data Integration and Modeling Engineer,90-109 ,3.8,ISO New England,"Holyoke, MA",501 to 1000 employees,Nonprofit Organization,Utilities,90,109,99, MA,1,23,0,1,0,0,0,0,0,,MA
Tableau Data Engineer 20-0117,90-109 ,3.7,Relativity,"Chicago, IL",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,90,109,99, IL,1,19,0,1,0,1,0,1,0,,IL
Senior Data Scientist,90-109 ,3.3,Tempo Automation,"San Francisco, CA",51 to 200 employees,Company - Private,Electrical & Electronic Manufacturing,90,109,99, CA,1,7,1,0,1,1,1,1,1,senior,CA
